# Cambodia Postal Codes - English Names Only
# Format: postal_code|English Name
# Khmer names will be added in a separate step

# Page 3: Banteay Meanchey Province (01)
020204|Chrey Commune
020205|Anlung Run Commune
020206|Chrouy Sdau Commune
020207|Boeng Pring Commune
020208|Kouk Khmum Commune

# Page 6
020209|Bansay Traeng Commune
020210|Rung Chrey Commune
020300|Bat Dambang Municipality
020301|Sangkat Tuol Ta Aek
020302|Sangkat Preaek Preah Sdach
020303|Sangkat Rotanak
020304|Sangkat Chamkar Samraong
020305|Sangkat Sla Kaet
020306|Sangkat Kdol Doun Teav
020307|Sangkat Ou Mal
020308|Sangkat Voat Kor
020309|Sangkat Ou Char
020310|Sangkat Svay Pao
020400|Bavel District
020401|Bavel Commune
020402|Khnach Romeas Commune
020403|Lvea Commune
020404|Prey Khpuos Commune
020405|Ampil Pram Daeum Commune
020406|Kdol Ta Haen Commune
020407|Boeng Pram Commune
020408|Khleang Meas Commune
020409|Buovel Commune
020500|Aek Phnum District
020501|Preaek Norin Commune
020502|Samraong Knong Commune
020503|Preaek Khpob Commune
020504|Preaek Luong Commune
020505|Peam Aek Commune
020506|Prey Chas Commune
020507|Kaoh Chiveang Commune
020600|Moung Ruessei District
020601|Moung Commune
020602|Kear Commune

# Page 7
020603|Prey Svay Commune
020604|Ruessei Krang Commune
020605|Chrey Commune
020606|Ta Loas Commune
020607|Kakaoh Commune
020608|Prey Touch Commune
020609|Robas Mangkul Commune
020700|Rotanak Mondol District
020701|Sdau Commune
020702|Andaeuk Haeb Commune
020703|Pniouv Meas Commune
020704|Traeng Commune
020705|Reaksmei Sangha Commune
020800|Sangkae District
020801|Anlung Vil Commune
020802|Norea Commune
020803|Ta Pon Commune
020804|Roka Commune
020805|Kampong Preah Commune
020806|Kampong Prieng Commune
020807|Reang Kesei Commune
020808|Ou Dambang Muoy Commune
020809|Ou Dambang Pir Commune
020810|Vaot Ta Muem Commune
020900|Samlout District
020901|Ta Taok Commune
020902|Kampong Lpov Commune
020903|Ou Samrel Commune
020904|Sung Commune
020905|Samlout Commune
020906|Mean Chey Commune
020907|Ta Sanh Commune
021000|Sampov Lun District
021001|Sampov Lun Commune

# Page 8
021002|Angkor Ban Commune
021003|Ta Sda Commune
021004|Santepheap Commune
021005|Serei Mean Chey Commune
021006|Chrey Seima Commune
021100|Phnum Proek District
021101|Phnum Proek Commune
021102|Pech Chenda Commune
021103|Barang Thleak Commune
021104|Ou Rumduol Commune
021105|Buor Commune
021200|Kamrieng District
021201|Kamrieng Commune
021202|Boeng Reang Commune
021203|Ou Da Commune
021204|Trang Commune
021205|Ta Saen Commune
021206|Ta Krei Commune
021300|Koas Krala District
021301|Thipakdei Commune
021302|Kaos Krala Commune
021303|Hab Commune
021304|Preah Phos Commune
021305|Doun Ba Commune
021306|Chhnai Moan Commune
021400|Rukhak Kiri District
021401|Preaek Chik Commune
021402|Prey Tralach Commune
021403|Basak Commune
021404|Mukh Rea Commune
021405|Sdok Pravoek Commune

# Province 03: Kampong Cham
030000|Kampong Cham Province
030100|Batheay District
030101|Batheay Commune

# Page 9
030102|Chbar Ampov Commune
030103|Chealea Commune
030104|Cheung Prey Commune
030105|Me Pring Commune
030106|Phav Commune
030107|Sambour Commune
030108|Sandaek Commune
030109|Tang Krang Commune
030110|Tang Krasang Commune
030111|Trab Commune
030112|Tumnub Commune
030200|Chamkar Leu District
030201|Bos Khnor Commune
030202|Chamkar Andoung Commune
030203|Cheyyou Commune
030204|Lvea Leu Commune
030205|Spueu Commune
030206|Svay Teab Commune
030207|Ta Ong Commune
030208|Ta Prok Commune
030300|Cheung Prey District
030301|Khnor Dambang Commune
030302|Kouk Rovieng Commune
030303|Phdau Chum Commune
030304|Prey Char Commune
030305|Pring Chrum Commune
030306|Sampong Chey Commune
030307|Sdaeung Chey Commune
030308|Soutr Commune
030309|Sramar Commune
030310|Trapeang Kor Commune
030400|Kampong Cham Municipality
030401|Sangkat Boeng Kok
030402|Sangkat Kampong Cham

# Page 10
030503|Sangkat Sambuor Meas
030504|Sangkat Veal Vung
030500|Kampong Siem District
030601|Ampi Commune
030602|Hanchey Commune
030603|Kien Chrey Commune
030604|Kokor Commune
030605|Kaoh Mit Commune
030606|Kaoh Roka Commune
030607|Kaoh Samraong Commune
030608|Kaoh Tontuem Commune
030609|Krala Commune
030610|Ou Svay Commune
030611|Rolang Commune
030612|Rumchek Commune
030613|Srak Commune
030614|Trean Commune
030615|Vihea Thum Commune
030700|Kang Meas District
030701|Angkor Ban Commune
030702|Kang Ta Noeng Commune
030703|Khchau Commune
030704|Peam Chi Kang Commune
030705|Preaek Koy Commune
030706|Preaek Krabau Commune
030707|Reay Pay Commune
030708|Roka Ar Commune
030709|Roka Koy Commune
030710|Sdau Commune
030711|Sou Kong Commune
030800|Kaoh Soutin District
030801|Kampong Reab Commune
030802|Kaoh Sotin Commune
030803|Lve Commune
030804|Moha Leaph Commune

# Page 11
030805|Moha Khnhoung Commune
030806|Peam Prathnuoh Commune
030807|Pongro Commune
030808|Preaek Ta Nung Commune
031300|Prey Chhor District
031301|Baray Commune
031302|Boeng Nay Commune
031303|Chrey Vien Commune
031304|Khvet Thum Commune
031305|Kor Commune
031306|Krouch Commune
031307|Lvea Commune
031308|Mien Commune
031309|Prey Chhor Commune
031310|Sou Saen Commune
031311|Samraong Commune
031312|Srangae Commune
031313|Thma Pun Commune
031314|Tong Rong Commune
031315|Trapeang Preah Commune
031400|Srei Santhor District
031401|Baray Commune
031402|Chi Bal Commune
031403|Khnar Sa Commune
031404|Kaoh Andaet Commune
031405|Mean Chey Commune
031406|Phteas Kandal Commune
031407|Pram Yam Commune
031408|Preaek Dambouk Commune
031409|Preaek Pou Commune
031410|Preaek Rumdeng Commune
031411|Ruessei Srok Commune
031412|Svay Pou Commune
031413|Svay Khsach Phnum Commune
031414|Tong Tralach Commune

# Page 12
031500|Stueng Trang District
031501|Areak Tnaot Commune
031503|Dang Kdar Commune
031504|Khpob Ta Nguon Commune
031505|Me Sar Chrey Commune
031506|Ou Mlu Commune
031507|Peam Kaoh Sna Commune
031508|Preah Andoung Commune
031509|Preaek Bak Commune
031510|Preaek Kak Commune
031512|Soupheas Commune
031513|Tuol Preah Khleang Commune
031514|Tuol Sambour Commune

# Province 04: Kampong Chhnang
040000|Kampong Chhnang Province
040100|Baribour District
040101|Anhchanh Rung Commune
040102|Chhnok Tru Commune
040103|Chak Commune
040104|Khon Rang Commune
040105|Kampong Preah Kokir Commune
040106|Melum Commune
040107|Phsar Commune
040108|Pech Changvar Commune
040109|Popel Commune
040110|Punley Commune
040111|Trapeang Chan Commune
040200|Chol Kiri District
040201|Chol Sar Commune
040202|Kaoh Thkov Commune
040203|Kampong Ov Commune
040204|Peam Chhkaok Commune
040205|Prey Kri Commune

# Page 13
040300|Kampong Chhnang Municipality
040301|Sangkat Phsar Chhnang
040302|Sangkat Kampong Chhnang
040303|Sangkat Bre
040304|Sangkat Khsam
040400|Kampong Leaeng District
040401|Chranouk Commune
040402|Dar Commune
040403|Kampong Hau Commune
040404|Pnilouv Tuk Commune
040405|Pou Commune
040406|Pralay Meas Commune
040407|Samraong Saen Commune
040408|Svay Rumpear Commune
040409|Trangel Commune
040500|Kampong Tralach District
040501|Ampil Tuek Commune
040502|Chhuk Sa Commune
040503|Chres Commune
040504|Kampong Tralach Commune
040505|Longveaek Commune
040506|Ou Ruessei Commune
040507|Peani Commune
040508|Saeb Commune
040509|Ta Ches Commune
040510|Thma Ed Commune
040600|Rolea Bier District
040601|Andoung Snay Commune
040602|Banteay Preal Commune
040603|Cheung Kreav Commune
040604|Chrey Bak Commune
040605|Kouk Banteay Commune
040606|Krang Leav Commune
040607|Pongro Commune
040608|Prasnoeb Commune
040609|Prey Mul Commune

# Page 14
040610|Rolea Bier Commune
040611|Svai Thmer Commune
040612|Svay Chrum Commune
040613|Tuek Hout Commune
040614|Phnum Krang Dei Meas Commune
040700|Sameakki Mean Chey District
040701|Chhean Laeung Commune
040702|Knas Chhmar Commune
040703|Krang Lvea Commune
040704|Peam Commune
040705|Sedthei Commune
040706|Svay Commune
040707|Svay Chuk Commune
040708|Tbaeng Khpuos Commune
040709|Thkok Vien Commune
040800|Tuek Phos District
040801|Akphivoad Commune
040802|Chieb Commune
040803|Chaong Maong Commune
040804|Kbal Tuek Commune
040805|Khlong Popok Commune
040806|Krang Skear Commune
040807|Tang Krasang Commune
040808|Tuol Khpuos Commune
040809|Kdol Saen Chey Commune

# Province 05: Kampong Speu
050000|Kampong Speu Province
050100|Basaed District
050101|Basaed Commune
050102|Kat Phluk Commune
050103|Nitean Commune
050104|Pheakdei Commune
050105|Phean Mean Chey Commune
050106|Phong Commune
050107|Pou Angkrang Commune
050108|Pou Chamraeun Commune

# Page 15
050109|Pou Mreal Commune
050110|Svay Chacheb Commune
050111|Tuol Ampil Commune
050112|Tuol Sala Commune
050113|Kak Commune
050114|Svay Rumpear Commune
050115|Preah Khae Commune
050200|Chbar Mon Municipality
050201|Sangkat Chbar Mon
050202|Sangkat Kandaol Dom
050203|Sangkat Rokar Thum
050204|Sangkat Sopoar Tep
050205|Sangkat Svay Kravan
050300|Kong Pisei District
050301|Ang Popel Commune
050302|Chungruk Commune
050303|Moha Ruessei Commune
050304|Pech Muni Commune
050305|Preah Nipean Commune
050306|Prey Nheat Commune
050307|Prey Vihea Commune
050308|Roka Kaoh Commune
050309|Sdok Commune
050310|Snam Krapeu Commune
050311|Srang Commune
050312|Tuek Lak Commune
050313|Veal Commune
050400|Aoral District
050401|Haong Samnam Commune
050402|Reaksmei Sameakki Commune
050403|Trapeang Chou Commune
050404|Sangkae Satob Commune
050405|Ta Sal Commune
050500|Phnum Sruoch District

# Page 16
050601|Chambak Commune
050602|Choam Sangkae Commune
050603|Dambouk Rung Commune
050604|Kiri Voan Commune
050605|Krang Dei Vay Commune
050606|Moha Sang Commune
050607|Ou Commune
050608|Prey Rumduol Commune
050609|Prey Kmeng Commune
050610|Tang Samraong Commune
050611|Tang Sya Commune
050612|Traeng Trayueng Commune
050613|Yeay Mau Pech Nil Commune
050700|Samraong Tong District
050701|Roleang Chak Commune
050702|Kahaeng Commune
050703|Khtum Krang Commune
050704|Krang Ampil Commune
050705|Pneay Commune
050706|Roleang Kreul Commune
050707|Samraong Tong Commune
050708|Sambour Commune
050709|Saen Dei Commune
050710|Skuh Commune
050711|Tang Krouch Commune
050712|Thoam Ta Ar Commune
050713|Trapeang Kong Commune
050714|Tumpoar Meas Commune
050715|Voa Sar Commune
050800|Thpong District
050801|Amleang Commune
050802|Meaknoourm Commune
050803|Prambei Mum Commune
050804|Rung Roeang Commune

# Page 17
050806|Toap Mean Commune
050807|Veal Pun Commune
050808|Yea Ang Commune
050900|Odong Mae Chey Municipality
050901|Sangkat Veang Chas
050902|Sangkat Veal Pung
050903|Sangkat Trach Tong
050904|Sangkat Preah Srae
050905|Sangkat Khsem Khsarn
050906|Sammeakki Muni Chey District
051001|Chan Saen Commune
051002|Cheung Roas Commune
051003|Chumpu Proek Commune
051004|Krang Chek Commune
051005|Mean Chey Commune
051006|Prey Krasang Commune
051007|Yut Sammeakki Commune
051008|Damnak Reang Commune
051009|Peang Lvea Commune
051010|Phnum Touch Commune

# Province 06: Kampong Thom
060000|Kampong Thom Province
060100|Baray District
060101|Bak Sna Commune
060102|Ballang Commune
060103|Baray Commune
060104|Boeng Commune
060105|Chaeung Daeung Commune
060106|Chhuk Khsach Commune
060107|Chong Doung Commune
060108|Kokir Thum Commune
060109|Krava Commune
060110|Tnaot Chrum
060117|Kampong Svay District

# Page 18
060201|Chey Commune
060202|Damrei Slab Commune
060203|Kampong Kou Commune
060204|Kampong Svay Commune
060205|Npeach Commune
060206|Phat Sanday Commune
060207|San Ko Commune
060208|Tbaeng Commune
060209|Trapeang Ruessei Commune
060210|Kdei Doung Commune
060211|Prey Kuy Commune
060300|Stueng Saen Municipality
060301|Sangkat Damrei Choan Khla
060302|Sangkat Kampong Thum
060303|Sangkat Kampong Roteh
060304|Sangkat Ou Kanthor
060305|Sangkat Kampong Krabau
060306|Sangkat Prey Ta Hu
060308|Sangkat Achar Leak
060309|Sangkat Srayouv
060310|Sangkat Srayouv
060400|Prasat Ballang District
060401|Doung Commune
060402|Krava Commune
060403|Phan Nheum Commune
060404|Sa Kream Commune
060405|Sala Visai Commune
060406|Sammeakki Commune
060407|Tuol Kreul Commune
060500|Prasat Sambour District
060501|Chhuk Commune
060502|Koul Commune
060503|Sambour Commune
060504|Sraeung Commune
060505|Tang Krasau Commune
060600|Sandan District

# Page 19
060601|Chheu Teal Commune
060602|Dang Kambet Commune
060603|Klaeng Commune
060604|Mean Rit Commune
060605|Mean Chey Commune
060606|Ngon Commune
060607|Sandan Commune
060608|Sochet Commune
060609|Tum Ring Commune
060700|Santuk District
060701|Boeng Lvea Commune
060702|Chroab Commune
060703|Kampong Thma Commune
060704|Kakaoh Commune
060705|Kraya Commune
060706|Pnov Commune
060707|Prasat Commune
060708|Tang Krasang Commune
060709|Ti Pou Commune
060710|Tboung Krapeu Commune
060800|Stoung District
060801|Banteay Stoung Commune
060802|Chamna Kraom Commune
060803|Chamna Leu Commune
060804|Kampong Chen Cheung Commune
060805|Kampong Chen Tboung Commune
060806|Msa Krang Commune
060807|Peam Bang Commune
060808|Popok Commune
060809|Pralay Commune
060810|Preah Damrei Commune
060811|Rung Roeang Commune
060812|Samprouch Commune
060813|Trea Commune

# Page 20
060900|Tang Kouk District
060901|Pongro Commune
060902|Chraneang Commune
060903|Chrolong Commune
060904|Triel Commune
060905|Sou Young Commune
060906|Sralau Commune
060907|Svay Phleung Commune
060908|Andoung Pou Commune

# Province 07: Kampot
070000|Kampot Province
070100|Angkor Chey District
070101|Ang Phnum Touch Commune
070102|Angkor Chey Commune
070103|Champei Commune
070104|Dambouk Khpuos Commune
070105|Dan Koum Commune
070106|Daeum Doung Commune
070107|Mroum Commune
070108|Phnum Kong Commune
070109|Praphnum Commune
070110|Samlanh Commune
070111|Tani Commune
070200|Banteay Meas District
070201|Banteay Meas Khang Kaeut Commune
070202|Banteay Meas Khang Lech Commune
070203|Prey Tonle Commune
070204|Samraong Kraom Commune
070205|Samraong Leu Commune
070206|Sdach Kung Khang Cheung Commune
070207|Sdach Kung Khang Lech Commune
070208|Sdach Kung Khang Tboung Commune
070209|Tnaot Chong Srang Commune

# Page 21
070210|Trapeang Sala Khang Kaeut Commune
070211|Trapeang Sala Khang Lech Commune
070212|Tuk Meas Khang Kaeut Commune
070213|Tuk Meas Khang Lech Commune
070214|Voat Ang Khang Cheung Commune
070215|Voat Ang Khang Tboung Commune
070300|Chhuk District
070301|Ba Niev Commune
070302|Ta Kaen Commune
070303|Boeng Nimul Commune
070304|Chhuk Commune
070305|Doun Yay Commune
070306|Krang Sbouv Commune
070307|Krang Snay Commune
070308|Lbaeuk Commune
070309|Trapeang Phleang Commune
070310|Mean Chey Commune
070311|Nearoay Commune
070312|Sat Pong Commune
070313|Trapeang Bei Commune
070314|Trameeang Commune
070315|Dechou Akphivoad Commune
070400|Chum Kiri District
070401|Chres Commune
070402|Chumpu Voan Commune
070403|Snay Anhchit Commune
070404|Srae Chaeng Commune
070405|Srae Knong Commune
070406|Srae Samraong Commune
070407|Trapeang Reang Commune
070500|Dang Tung District
070501|Damnak Sokram Commune
070502|Dang Tung Commune

# Page 22
070503|Khcheay Khang Cheung Commune
070504|Khcheay Khang Tboung Commune
070505|Mean Rit Commune
070506|Srae Chea Khang Cheung Commune
070507|Srae Chea Khang Tboung Commune
070508|Totung Commune
070509|Ang Romeas Commune
070510|Lang Commune
070600|Kampong Trach District
070601|Boeng Sala Khang Cheung Commune
070602|Boeng Sala Khang Tboung Commune
070603|Damnak Kantuot Cheung Commune
070604|Damnak Kantuot Khang Tboung Commune
070605|Kampong Trach Khang Kaeut Commune
070606|Kampong Trach Khang Lech Commune
070607|Prasat Phnum Khyang Commune
070608|Phnum Prasat Commune
070609|Ang Sophi Commune
070610|Preaek Kroes Commune
070611|Ruessei Srok Khang Kaeut Commune
070612|Ruessei Srok Khang Lech Commune
070613|Svay Tong Khang Cheung Commune
070614|Svay Tong Khang Tboung Commune
070700|Tuek Chhu District
070701|Chum Kriel Commune
070702|Kampong Kraeng Commune
070703|Kampong Samraong Commune
070704|Kandaol Commune
070705|Koun Sat Commune
070706|Makprang Commune
070707|Prey Khmum Commune

# Page 23
070713|Prey Thnang Commune
070715|Stueng Kaev Commune
070716|Thmei Commune
070717|Trapeang Pring Commune
070718|Trapeang Sangkae Commune
070719|Trapeang Thum Commune
070800|Kampot Municipality
070801|Sangkat Kampong Kandal
070802|Sangkat Krang Ampil
070803|Sangkat Kampong Bay
070804|Sangkat Andoung Khmer
070805|Sangkat Traeuy Kaoh
070900|Bouk Kou Municipality
070901|Sangkat Boeng Tuk
070902|Sangkat Kaoh Touch
070903|Sangkat Preaek Tnaot

# Province 08: Kandal
080000|Kandal Province
080100|Kandal Stueng District
080101|Ampov Prey Commune
080102|Anlung Romiet Commune
080103|Barku Commune
080104|Boeng Khyang Commune
080105|Cheung Kaeub Commune
080106|Daeum Rues Commune
080107|Kandaok Commune
080108|Thmei Commune
080109|Kouk Trab Commune
080110|Preah Put Commune
080111|Preaek Roka Commune
080112|Preaek Slaeng Commune
080113|Roka Commune
080114|Roleang Kaen Commune
080115|Siem Reab Commune

# Page 24
080125|Tbaeng Commune
080127|Trapeang Veaeng Commune
080128|Trea Commune
080200|Kien Svay District
080201|Banteay Daek Commune
080202|Chheu Teal Commune
080203|Dei Ed Commune
080204|Kampong Svay Commune
080206|Kokir Commune
080207|Kokir Thum Commune
080208|Phum Thum Commune
080211|Samraong Thum Commune
080300|Khsach Kandal District
080302|Chey Thum Commune
080303|Kampong Chamlang Commune
080304|Kaoh Chouram Commune
080306|Preah Prasab Commune
080310|Preaek Ta Meak Commune
080311|Puk Ruessei Commune
080312|Roka Chunlueng Commune
080313|Sanlung Commune
080314|Sithor Commune
080316|Svay Romiet Commune
080317|Ta Aek Commune
080318|Vihea Suor Commune
080400|Kaoh Thum District
080403|Kampong Kong Commune
080404|Kaoh Thum Ka Commune
080405|Kaoh Thum Kha Commune
080406|Leuk Daek Commune
080407|Pou Ban Commune
080408|Preaek Thmei Commune
080500|Leuk Daek District
080501|Kampong Phnum Commune

# Page 25
080502|Kam Samnar Commune
080503|Khpob Ateav Commune
080504|Peam Reang Commune
080505|Preaek Dach Commune
080506|Preaek Tunloab Commune
080507|Sandar Commune
080600|Lvea Aem District
080601|Boeng Krum Commune
080603|Kaoh Kaev Commune
080604|Kaoh Reah Commune
080605|Lvea Sar Commune
080606|Phum Thum Commune
080608|Preaek Rey Commune
080610|Preaek Ruessei Commune
080611|Sambour Commune
080612|Thma Kor Commune
080614|Tuek Khleang Commune
080700|Mukh Kampul District
080703|Preaek Anhchanh Commune
080704|Preaek Dambang Commune
080705|Roka Kaong Ti Muoy Commune
080706|Roka Kaong Ti Pir Commune
080709|Ruessei Chrouy Commune
080710|Sambour Meas Commune
080711|Svay Ampear Commune
080800|Ang Snuol District
080801|Baek Chan Commune
080802|Chhak Chheu Neang Commune
080803|Damnak Ampil Commune
080804|Krang Mkak Commune
080805|Lumhach Commune
080806|Mkak Commune
080807|Peuk Commune
080808|Prey Puoch Commune

# Page 26
080814|Samraong Leu Commune
080816|Tuol Prech Commune
080900|Ponhea Lueu District
080901|Chhiveang Commune
080902|Chrey Loas Commune
080903|Kampong Luong Commune
080904|Kampong Os Commune
080905|Kaoh Chen Commune
080906|Phnum Bat Commune
080907|Ponhea Lueu Commune
080910|Preaek Ta Teaen Commune
080911|Phsar Daek Commune
080913|Tumnub Thum Commune
080914|Vihea Luong Commune
081000|Sang District
081001|Khpob Commune
081002|Kaoh Khael Commune
081003|Kaoh Khsach Tunlea Commune
081004|Krang Youv Commune
081005|Prasat Commune
081006|Preaek Ambel Commune
081007|Preaek Koy Commune
081008|Sang Phnum Commune
081009|Svay Prateal Commune
081010|Ta Lun Commune
081012|Traeuy Sla Commune
081015|Tuek Vil Commune
081100|Ta Khmau Municipality
081101|Sangkat Ta Kdol
081102|Sangkat Prek Ruessei
081103|Sangkat Daeum Mien
081104|Sangkat Ta Khmau
081105|Sangkat Praek Hour
081106|Sangkat Kampong Samnanh

# Page 27
081107|Sangkat Svay Rolum
081108|Sangkat Kaoh Anlung Chen
081109|Sangkat Settak bou
081110|Sangkat Roka Khpuos
081200|Sampov Pun Municipality
081201|Sangkat Chheu Khmau
081202|Sangkat Preaek Chrey
081203|Sangkat Preaek Sdei
081204|Sangkat Chrouy Ta Kaev
081205|Sangkat Sampov Pun
081300|Akrey Ksat Municipality
081301|Sangkat Bak Dav
081302|Sangkat Kaoh Oknha Tei
081303|Sangkat Preaek Ampil
081304|Sangkat Preaek Luong
081305|Sangkat Preaek Ta kouv
081306|Sangkat Svay Chrum
081307|Sangkat Akrey Ksat
081308|Sangkat Sarikakev
081309|Sangkat Peam Oknha Ong
081310|Sangkat Preaek Kmeng
081311|Sangkat Barong

# Province 09: Koh Kong
090000|Koh Kong Province
090100|Botum Sakor District
090101|Andoung Tuek Commune
090102|Kandaol Commune
090103|Ta Nun Commune
090104|Thma Sa Commune
090200|Kiri Sakor District
090201|Kaoh Sdach Commune
090202|Pnhri Meas Commune
090203|Preaek Khsach Commune
090300|Kaoh Kong District

# Page 28
090301|Chrouy Pras Commune
090302|Kaoh Kapi Commune
090303|Ta Tai Kraom Commune
090304|Trapeang Rung Commune
090400|Khemmarakphoumin Municipality
090401|Sangkat Smach Mean Chey
090402|Sangkat Dang Tung
090403|Sangkat Stueng Veaeng
090500|Mundul Seima District
090501|Pak Khlang Commune
090502|Peam Krasaob Commune
090503|Tuol Kokir Commune
090600|Srae Ambel District
090601|Boeng Preav Commune
090602|Chi Kha Kraom Commune
090603|Chi Kha Leu Commune
090604|Chrouy Svay Commune
090605|Dang Peaeng Commune
090606|Srae Ambel Commune
090700|Thma Bang District
090701|Ta Tey Leu Commune
090702|Pralay Commune
090703|Chumnoab Commune
090704|Ruessei Chrum Commune
090705|Chi Phat Commune
090706|Thma Doun Pov Commune

# Province 10: Kratie
100000|Kratie Province
100100|Chhloung District
100101|Chhloung Commune
100102|Damrei Phong Commune
100103|Hanchey Commune
100104|Kampong Damrei Commune
100105|Kanhchor Commune

# Page 29
100106|Khsach Andaet Commune
100107|Pongro Commune
100108|Preaek Saman Commune
100200|Kracheh Municipality
100207|Sangkat Kaoh Trong
100208|Sangkat Krakor
100209|Sangkat Kracheh
100210|Sangkat Ou Ruessei
100211|Sangkat Roka Kandal
100300|Preaek Prasab District
100301|Chambak Commune
100302|Chrouy Banteay Commune
100303|Kampong Kor Commune
100304|Kaoh Ta Suy Commune
100305|Preaek Prasab Commune
100306|Ruessei Kaev Commune
100307|Saob Commune
100308|Ta Mau Commune
100400|Sambour District
100401|Boeng Char Commune
100402|Kampong Cham Commune
100403|Kaoh Khnhaer Commune
100404|Sambour Commune
100407|Sandan Commune
100408|Voadthneaknak Commune
100410|Snuol District
100500|Snuol District
100501|Khsuem Commune
100502|Pir Thnu Commune
100503|Snuol Commune
100504|Srae Char Commune
100505|Svay Chreah Commune
100506|Kranfung Saen Chey Commune
100600|Chet Borei District
100601|Bos Leav Commune

# Page 30
100602|Changkrang Commune
100603|Dar Commune
100604|Kantuot Commune
100605|Kou Loab Commune
100606|Kaoh Chraeng Commune
100607|Sambok Commune
100608|Thma Andaeuk Commune
100609|Thma Kreae Commune
100610|Thmei Commune
100700|Ou Krieng Saen Chey District
100701|Kbal Damrei Commune
100702|Ou Krieng Commune
100703|Ou Kandei Saen Chey Commune
100704|Rolous Mean Chey Commune
100705|Srae Chis Commune

# Province 11: Mondul Kiri
110000|Mondul Kiri Province
110100|Kaev Seima District
110101|Chong Phlah Commune
110102|Me Mang Commune
110103|Srae Chhuk Commune
110104|Srae Khtum Commune
110105|Srae Preah Commune
110200|Kaoh Nheak District
110201|Nang Khi Lik Commune
110202|A Buon Leu Commune
110203|Roya Commune
110204|Sokh San Commune
110205|Srae Huy Commune
110206|Srae Sangkum Commune
110300|Ou Reang District
110301|Dak Dam Commune
110302|Saen Meakhnoum Commune
110400|Pechreda District
110401|Krang Teh Commune
110402|Pu Chrey Commune
110403|Srae Ampum Commune
110404|Bu Sra Commune
110500|Saen Meakhnoum Municipality
110501|Sangkat Meakhnoum
110502|Sangkat Sokhak Dom
110503|Sangkat Spean Mean Chey
110504|Sangkat Rummeeaknea

# Province 12: Phnom Penh Capital
120000|Phnom Penh Capital
120100|Khan Chamkar Mon
120101|Sangkat Tonle Basak
120109|Sangkat Tuol Tumpung Ti Pir
120110|Sangkat Tuol Tumpung Ti Muoy
120111|Sangkat Boeng Trabaek
120112|Sangkat Phsar Daeum Thkov
120200|Khan Doun Penh
120201|Sangkat Phsar Thmei Ti Muoy
120202|Sangkat Phsar Thmei Ti Pir
120203|Sangkat Phsar Thmei Ti Bei
120204|Sangkat Boeng Reang
120205|Sangkat Phsar Kandal Ti Muoy
120206|Sangkat Phsar Kandal Ti Pir
